City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,luena,-11.7833,19.9167,67.59,68,100,2.55,AO,1620286046
1,bredasdorp,-34.5322,20.0403,59.0,94,100,16.11,ZA,1620286047
2,new norfolk,-42.7826,147.0587,61.0,66,0,3.0,AU,1620286047
3,rikitea,-23.1203,-134.9692,76.33,80,100,13.51,PF,1620285789
4,faanui,-16.4833,-151.75,82.67,75,12,12.53,PF,1620286048
5,butaritari,3.0707,172.7902,83.21,78,100,19.35,KI,1620286048
6,jamestown,42.097,-79.2353,37.4,93,75,6.91,US,1620286048
7,queanbeyan,-35.35,149.2333,61.0,82,75,13.8,AU,1620286049
8,peleduy,59.6289,112.7406,36.84,100,100,2.75,RU,1620286049
9,fairview,40.8126,-73.999,53.6,62,1,5.75,US,1620286050
10,touros,-5.1989,-35.4608,73.4,94,40,2.3,BR,1620286050
11,khatanga,71.9667,102.5,34.27,95,87,9.93,RU,1620286051
12,punta arenas,-53.15,-70.9167,37.4,93,0,8.05,CL,1620286051
13,kodiak,57.79,-152.4072,37.54,80,11,5.68,US,1620285837
14,hasaki,35.7333,140.8333,73.99,46,75,9.22,JP,1620286052
15,arraial do cabo,-22.9661,-42.0278,70.29,88,5,6.33,BR,1620286052
16,kijini,-5.85,39.3167,77.9,79,98,18.1,TZ,1620286073
17,mataura,-46.1927,168.8643,52.0,96,27,1.3,NZ,1620286074
18,kimbe,-5.5502,150.1429,80.74,85,100,0.51,PG,1620286074
19,praia da vitoria,38.7333,-27.0667,62.6,88,40,11.1,PT,1620286075
20,rocha,-34.4833,-54.3333,51.1,65,100,7.94,UY,1620286090
21,rapid city,44.0805,-103.231,41.0,81,90,4.61,US,1620285800
22,port elizabeth,-33.918,25.5701,64.4,88,20,10.36,ZA,1620286091
23,itupiranga,-5.1347,-49.3267,77.0,97,75,1.1,BR,1620286091
24,visby,57.6409,18.296,46.0,100,90,5.75,SE,1620286091
25,cosala,24.4125,-106.6908,64.99,92,0,1.77,MX,1620286092
26,cap-chat,49.1001,-66.6821,39.2,100,100,9.22,CA,1620286092
27,cayenne,4.9333,-52.3333,79.0,100,90,1.34,GF,1620286093
28,atuona,-9.8,-139.0333,80.56,79,32,23.13,PF,1620286093
29,galle,6.0367,80.217,86.85,65,100,8.46,LK,1620286093
30,usinsk,65.9939,57.5281,34.52,99,100,5.32,RU,1620286094
31,chokurdakh,70.6333,147.9167,24.94,90,12,5.48,RU,1620286094
32,kokoda,-8.8785,147.7407,79.59,90,83,3.49,PG,1620286095
33,albany,42.6001,-73.9662,48.0,76,100,1.01,US,1620286095
34,thompson,55.7435,-97.8558,26.6,74,20,6.91,CA,1620286095
35,ushuaia,-54.8,-68.3,35.6,87,20,16.11,AR,1620286096
36,salalah,17.0151,54.0924,89.6,66,40,12.66,OM,1620286096
37,taoudenni,22.6783,-3.9836,80.65,20,0,9.35,ML,1620286096
38,fairbanks,64.8378,-147.7164,48.2,87,75,4.03,US,1620286029
39,hai duong,20.9333,106.3167,87.8,74,20,8.05,VN,1620286096
40,vaini,-21.2,-175.2,75.2,94,90,12.66,TO,1620286097
41,port alfred,-33.5906,26.891,70.59,68,3,5.19,ZA,1620286098
42,sorong,-0.8833,131.25,83.21,78,100,5.41,ID,1620286098
43,meulaboh,4.1363,96.1285,84.92,69,99,5.12,ID,1620286098
44,victoria,22.2855,114.1577,81.0,72,96,3.0,HK,1620285882
45,sidney,-33.8679,151.2073,68.0,88,75,13.8,AU,1620285989
46,sao miguel do araguaia,-13.275,-50.1628,67.59,57,6,3.8,BR,1620286099
47,nome,64.5011,-165.4064,35.6,55,1,3.6,US,1620286099
48,paeroa,-37.3667,175.6667,60.01,89,0,2.37,NZ,1620286100
49,woodward,36.4337,-99.3904,55.4,93,40,5.75,US,1620286100
50,qaanaaq,77.484,-69.3632,25.57,82,100,1.34,GL,1620286101
51,hervey bay,-25.2986,152.8535,73.0,52,100,9.22,AU,1620286101
52,busselton,-33.65,115.3333,64.99,90,31,1.01,AU,1620286101
53,puerto ayora,-0.7393,-90.3518,73.99,93,0,5.59,EC,1620286039
54,marks,51.7111,46.7486,61.74,45,0,8.1,RU,1620286102
55,sitka,57.0531,-135.33,51.8,58,90,13.8,US,1620286102
56,pisco,-13.7,-76.2167,64.4,94,90,9.22,PE,1620286103
57,saldanha,-33.0117,17.9442,59.0,88,19,8.05,ZA,1620286103
58,port hedland,-20.3167,118.5667,86.0,66,97,11.5,AU,1620286104
59,sao joao da barra,-21.6403,-41.0511,71.47,87,0,7.76,BR,1620286104
60,camacha,33.0833,-16.3333,62.6,72,75,10.36,PT,1620286105
61,lavrentiya,65.5833,-171.0,20.07,85,4,6.71,RU,1620286105
62,cidreira,-30.1811,-50.2056,59.79,92,100,8.46,BR,1620286105
63,acarau,-2.8856,-40.12,73.78,88,62,6.22,BR,1620286106
64,tuktoyaktuk,69.4541,-133.0374,19.44,94,100,3.42,CA,1620286106
65,krasnoselkup,65.7,82.4667,32.99,97,100,21.41,RU,1620286107
66,manyana,-23.4,21.7167,66.63,33,88,9.37,BW,1620286107
67,shimoda,34.6667,138.95,68.0,83,40,11.5,JP,1620286107
68,cabo san lucas,22.8909,-109.9124,69.01,43,1,1.01,MX,1620286033
69,castro,-24.7911,-50.0119,58.95,64,5,3.94,BR,1620286108
70,baker city,44.7749,-117.8344,48.2,49,1,2.37,US,1620286108
71,port hawkesbury,45.6169,-61.3485,39.2,93,90,10.36,CA,1620286108
72,general roca,-39.0333,-67.5833,37.4,100,0,3.56,AR,1620286109
73,kruisfontein,-34.0033,24.7314,69.01,72,100,7.0,ZA,1620286109
74,buluang,13.3068,123.3425,91.42,53,88,5.35,PH,1620286110
75,ukiah,39.1502,-123.2078,57.2,58,1,4.0,US,1620286110
76,lienz,46.8289,12.769,37.4,75,20,2.42,AT,1620286110
77,cape town,-33.9258,18.4232,60.8,82,40,20.71,ZA,1620286111
78,bluff,-46.6,168.3333,52.0,96,58,3.31,NZ,1620286111
79,los llanos de aridane,28.6585,-17.9182,66.2,59,75,11.5,ES,1620286112
80,marathon,44.9,-89.7668,50.0,46,90,6.91,US,1620286112
81,shubarshi,48.5872,57.1869,58.93,36,6,13.24,KZ,1620286112
82,hobart,-42.8794,147.3294,61.0,72,75,12.66,AU,1620285874
83,kapaa,22.0752,-159.319,73.4,78,1,14.97,US,1620285945
84,svetlyy,54.675,20.1347,44.6,81,75,24.61,RU,1620286113
85,date,42.4681,140.8681,56.3,56,0,13.53,JP,1620286114
86,hearst,49.6835,-83.6665,30.2,93,34,3.44,CA,1620286114
87,tiksi,71.6872,128.8694,28.2,86,100,15.41,RU,1620286114
88,dingli,35.8614,14.3822,64.4,88,20,6.91,MT,1620286115
89,namibe,-15.1961,12.1522,74.82,82,23,1.28,AO,1620286115
90,yellowknife,62.456,-114.3525,35.6,60,20,8.05,CA,1620286084
91,hailin,44.5833,129.4167,73.6,23,90,11.36,CN,1620286116
92,tabou,4.423,-7.3528,77.54,89,100,8.77,CI,1620286116
93,el alto,-4.2714,-81.2147,70.2,76,86,11.34,PE,1620286116
94,bethel,41.3712,-73.414,46.99,87,6,9.13,US,1620286117
95,sao gabriel da cachoeira,-0.1303,-67.0892,70.88,98,100,0.54,BR,1620286117
96,saint-philippe,-21.3585,55.7679,78.8,88,0,5.75,RE,1620286117
97,tuatapere,-46.1333,167.6833,52.0,96,95,1.95,NZ,1620286118
98,clyde river,70.4692,-68.5914,8.6,92,40,4.61,CA,1620286033
99,saint-joseph,-21.3667,55.6167,77.0,88,0,5.75,RE,1620286119
100,nenjiang,49.1833,125.2167,54.21,45,49,11.95,CN,1620286119
101,avarua,-21.2078,-159.775,77.0,73,40,6.91,CK,1620286028
102,mirnyy,62.5353,113.9611,47.37,69,100,4.21,RU,1620286120
103,ponta do sol,32.6667,-17.1,57.99,63,18,1.99,PT,1620286120
104,georgetown,5.4112,100.3354,87.01,79,20,4.5,MY,1620286047
105,mahebourg,-20.4081,57.7,84.2,74,75,6.91,MU,1620286121
106,makokou,0.5738,12.8642,72.27,93,100,4.25,GA,1620286121
107,itoman,26.1247,127.6694,78.8,89,75,11.5,JP,1620286121
108,talnakh,69.4865,88.3972,30.74,93,97,4.56,RU,1620286122
109,caibarien,22.5206,-79.4669,73.4,94,1,3.44,CU,1620286122
110,klaksvik,62.2266,-6.589,35.6,87,100,26.46,FO,1620286123
111,vanavara,60.34,102.2797,41.79,46,100,8.55,RU,1620286123
112,bismil,37.8486,40.6658,75.2,38,20,3.44,TR,1620286124
113,lorengau,-2.0226,147.2712,83.35,77,84,4.74,PG,1620286124
114,imeni babushkina,59.7573,43.1285,46.81,61,77,7.09,RU,1620286124
115,tasiilaq,65.6145,-37.6368,28.4,86,90,2.3,GL,1620286125
116,barrow,71.2906,-156.7887,14.0,85,90,5.75,US,1620286125
117,commerce,34.0006,-118.1598,62.01,77,20,3.44,US,1620286126
118,zhanakorgan,43.9098,67.2495,78.69,25,100,10.42,KZ,1620286126
119,berbera,10.4396,45.0143,87.6,62,48,5.53,SO,1620286127
120,ranau,5.9538,116.6641,78.8,94,40,4.61,MY,1620286085
121,mareeba,-17.0,145.4333,80.01,57,6,5.75,AU,1620286127
122,ziarat,30.3823,67.7282,59.92,38,100,5.1,PK,1620286127
123,asau,46.4333,26.4,64.4,52,40,11.5,RO,1620286128
124,katsuura,35.1333,140.3,73.99,64,75,3.44,JP,1620286128
125,kholodnyy,62.7167,147.95,37.27,78,96,2.08,RU,1620286129
126,san patricio,28.017,-97.5169,69.8,94,1,4.92,US,1620286129
127,santa pola,38.1917,-0.5658,64.99,88,0,6.91,ES,1620286025
128,yabrud,33.9674,36.6574,78.8,21,0,16.11,SY,1620286130
129,takoradi,4.8845,-1.7554,80.47,80,97,6.35,GH,1620286130
130,nikolskoye,59.7035,30.7861,43.0,93,90,6.71,RU,1620286130
131,moindou,-21.6924,165.677,75.2,83,0,3.44,NC,1620286131
132,dikson,73.5069,80.5464,27.86,85,100,10.78,RU,1620286131
133,chara,56.9064,118.2631,45.05,48,96,2.93,RU,1620286132
134,pathanamthitta,9.2667,76.7833,94.93,48,30,2.71,IN,1620286132
135,saint george,37.1041,-113.5841,75.2,11,1,13.8,US,1620286132
136,edgewater,28.9889,-80.9023,73.99,88,40,4.72,US,1620286133
137,tambovka,50.0969,128.0489,55.4,54,40,6.71,RU,1620286133
138,dryden,49.7833,-92.7503,32.0,74,1,4.61,CA,1620286134
139,calgary,51.0501,-114.0853,45.0,49,20,6.91,CA,1620286073
140,esperance,-33.8667,121.9,69.8,73,36,6.91,AU,1620286134
141,hilo,19.7297,-155.09,73.4,78,40,4.61,US,1620286135
142,carnarvon,-24.8667,113.6333,77.0,61,75,8.05,AU,1620286135
143,upernavik,72.7868,-56.1549,16.75,76,27,8.08,GL,1620286135
144,jalu,29.0331,21.5482,94.35,15,22,17.47,LY,1620286136
145,ossora,59.2353,163.0719,28.4,78,1,5.39,RU,1620286136
146,gharghoda,22.1667,83.35,103.66,17,4,7.16,IN,1620286137
147,lagos,6.5833,3.75,78.8,94,20,7.16,NG,1620286137
148,chuy,-33.6971,-53.4616,50.63,68,90,8.46,UY,1620286138
149,kodinsk,58.6881,99.1844,42.73,71,82,7.09,RU,1620286138
150,bambous virieux,-20.3428,57.7575,84.2,74,75,6.91,MU,1620286138
151,portland,45.5234,-122.6762,66.2,32,1,2.37,US,1620285857
152,kaitangata,-46.2817,169.8464,57.99,93,100,1.99,NZ,1620286139
153,sobolevo,54.4299,31.8996,49.15,93,100,20.67,RU,1620286139
154,xining,36.6167,101.7667,66.0,27,32,3.27,CN,1620286140
155,raudeberg,61.9875,5.1352,48.0,78,99,5.39,NO,1620286140
156,east london,-33.0153,27.9116,68.0,88,10,5.3,ZA,1620285929
157,ponta delgada,37.7333,-25.6667,62.6,88,40,3.44,PT,1620286141
158,aadorf,47.492,8.901,50.0,66,20,6.91,CH,1620286141
159,bengkulu,-3.8004,102.2655,83.19,72,100,1.63,ID,1620286141
160,norman wells,65.282,-126.8329,35.6,64,20,4.61,CA,1620286142
161,ifakara,-8.1333,36.6833,75.85,78,100,2.08,TZ,1620286142
162,karratha,-20.7377,116.8463,82.96,61,100,9.55,AU,1620285940
163,chokwe,-24.5333,32.9833,72.36,60,94,2.55,MZ,1620286143
164,iskateley,67.6803,53.1512,30.88,95,100,13.11,RU,1620286143
165,monrovia,6.3005,-10.7969,71.6,94,75,3.44,LR,1620285930
166,alofi,-19.0595,-169.9187,77.0,100,100,2.3,NU,1620286144
167,sinnamary,5.3833,-52.95,75.9,87,99,2.68,GF,1620286144
168,umm lajj,25.0213,37.2685,99.37,21,0,11.92,SA,1620286144
169,hithadhoo,-0.6,73.0833,84.33,65,100,3.94,MV,1620286145
170,hermanus,-34.4187,19.2345,60.01,94,100,4.0,ZA,1620286145
171,vostok,46.4856,135.8833,50.2,67,93,10.31,RU,1620286146
172,seymchan,62.8833,152.4333,34.07,92,100,2.44,RU,1620286146
173,codrington,-38.2667,141.9667,60.21,54,100,2.46,AU,1620286146
174,caernarfon,53.1413,-4.2702,42.8,81,4,2.3,GB,1620286147
175,asekeyevo,53.5742,52.7972,59.05,48,8,12.26,RU,1620286147
176,mount isa,-20.7333,139.5,80.6,12,97,13.8,AU,1620286147
177,namatanai,-3.6667,152.4333,83.88,73,100,5.17,PG,1620286148
178,poum,-20.2333,164.0167,77.58,74,32,1.81,NC,1620286148
179,beawar,26.1,74.3167,100.9,15,1,6.53,IN,1620286149
180,northam,51.0333,-4.2167,43.0,90,100,1.99,GB,1620286149
181,bouar,5.934,15.596,69.26,88,64,7.34,CF,1620286150
182,troitskoye,52.9821,84.6757,73.35,37,100,6.67,RU,1620286150
183,ust-nera,64.5667,143.2,38.79,82,100,4.59,RU,1620286150
184,ha giang,22.8333,104.9833,84.16,69,100,4.32,VN,1620286151
185,isoka,-10.1606,32.6335,63.21,85,87,4.36,ZM,1620286151
186,staryy nadym,65.6118,72.6842,35.02,99,100,31.68,RU,1620286152
187,conceicao do araguaia,-8.2578,-49.2647,73.4,94,0,3.44,BR,1620286152
188,laguna,38.421,-121.4238,62.6,72,1,8.05,US,1620286152
189,plettenberg bay,-34.0527,23.3716,63.41,87,26,4.68,ZA,1620286153
190,bardiyah,31.7561,25.0865,77.23,41,57,8.19,LY,1620286153
191,meadow lake,34.8014,-106.5436,64.4,27,20,23.02,US,1620286154
192,pascagoula,30.3658,-88.5561,69.8,78,75,5.75,US,1620286154
193,domoni,-12.2569,44.5319,79.84,72,99,13.04,KM,1620286155
194,puerto cabezas,14.0351,-83.3888,77.23,78,19,6.29,NI,1620286155
195,las margaritas,16.3167,-91.9833,59.38,93,100,3.53,MX,1620286155
196,rocky mountain house,52.3668,-114.9188,37.4,65,100,4.61,CA,1620286156
197,nago,26.5881,127.9761,78.01,83,90,8.05,JP,1620286156
198,havoysund,70.9963,24.6622,35.6,75,75,4.61,NO,1620286157
199,kotido,2.9806,34.1331,74.82,67,100,2.51,UG,1620286157
200,aswan,24.0934,32.907,99.23,9,0,9.46,EG,1620286158
201,luleburgaz,41.4039,27.3592,64.4,72,75,11.5,TR,1620286158
202,arroio grande,-32.2375,-53.0869,49.06,72,100,7.99,BR,1620286158
203,praia,14.9215,-23.5087,69.8,78,20,16.11,CV,1620286159
204,husavik,66.0449,-17.3389,32.0,80,90,9.22,IS,1620286159
205,gat,31.61,34.7642,80.01,42,16,5.99,IL,1620286160
206,muzhi,65.3667,64.6667,32.14,98,100,20.04,RU,1620286160
207,sur,22.5667,59.5289,91.94,51,14,4.79,OM,1620286160
208,san luis,-33.295,-66.3356,45.54,80,0,7.23,AR,1620286161
209,ternate,0.8,127.4,83.8,74,90,4.12,ID,1620286161
210,roma,43.2128,-75.4557,45.0,87,75,6.91,US,1620286161
211,bonnyville,54.2668,-110.735,42.8,42,1,2.3,CA,1620286162
212,egvekinot,66.3167,-179.1667,19.42,75,1,8.97,RU,1620286162
213,torbay,47.6666,-52.7314,37.99,87,90,10.36,CA,1620286163
214,oistins,13.0667,-59.5333,77.0,69,40,20.71,BB,1620286163
215,bandarbeyla,9.4942,50.8122,87.44,61,96,8.61,SO,1620286164
216,vardo,70.3705,31.1107,35.6,80,75,5.75,NO,1620286164
217,yarada,17.65,83.2667,95.0,46,40,9.22,IN,1620286164
218,kiunga,-6.1219,141.2906,81.59,92,99,1.61,PG,1620286165
219,bilibino,68.0546,166.4372,30.74,86,100,1.05,RU,1620286165
220,le vauclin,14.5452,-60.8388,77.0,78,75,10.36,MQ,1620286166
221,lubumbashi,-11.6609,27.4794,68.0,77,0,9.22,CD,1620285914
222,tautira,-17.7333,-149.15,80.6,78,40,3.44,PF,1620286166
223,ilulissat,69.2167,-51.1,28.4,80,75,4.61,GL,1620286166
224,hamilton,39.1834,-84.5333,44.6,100,1,3.15,US,1620286083
225,korla,41.7597,86.1469,83.48,7,2,13.38,CN,1620286167
226,leningradskiy,69.3833,178.4167,24.21,87,24,8.12,RU,1620286167
227,bereda,43.2686,-7.5406,53.01,99,100,5.3,ES,1620286168
228,haines junction,60.7522,-137.5108,39.2,52,100,3.44,CA,1620286168
229,manado,1.487,124.8455,78.8,94,40,3.44,ID,1620286169
230,storforshei,66.4043,14.5233,39.2,35,0,10.36,NO,1620286169
231,ocos,14.5094,-92.1933,66.0,98,100,7.85,GT,1620286169
232,dakoro,14.5106,6.765,92.48,14,12,2.15,NE,1620286170
233,ramanagaram,12.7167,77.3,89.01,48,40,3.44,IN,1620286170
234,dukstas,55.5333,26.3333,44.76,83,100,11.54,LT,1620286171
235,mabaruma,8.2,-59.7833,72.72,98,100,1.95,GY,1620286171
236,san andres,12.5847,-81.7006,80.6,78,20,12.66,CO,1620286171
237,yumen,40.2833,97.2,74.35,5,71,7.18,CN,1620286172
238,asyut,27.181,31.1837,98.04,10,0,3.91,EG,1620286172
239,cherskiy,68.75,161.3,31.48,88,100,3.91,RU,1620286173
240,kabwe,-14.4469,28.4464,67.5,47,6,9.69,ZM,1620286173
241,batesville,35.7698,-91.641,51.8,87,1,4.29,US,1620286174
242,kieta,-6.2167,155.6333,82.26,79,100,4.03,PG,1620286174
243,mizdah,31.4451,12.9801,73.56,28,100,18.75,LY,1620286174
244,matagami,49.7502,-77.6328,30.2,93,90,6.91,CA,1620286175
245,narsaq,60.9167,-46.05,33.8,47,1,4.72,GL,1620286175
246,tepalcatepec,19.1833,-102.85,76.19,42,4,1.63,MX,1620286176
247,sao filipe,14.8961,-24.4956,71.37,78,10,6.53,CV,1620286176
248,rio gallegos,-51.6226,-69.2181,37.4,93,0,9.22,AR,1620286177
249,pombia,45.653,8.6336,59.0,58,0,10.36,IT,1620286177
250,hefei,31.8639,117.2808,77.0,47,0,8.95,CN,1620286177
251,santa cruz,-17.8,-63.1667,53.6,82,75,18.41,BO,1620285938
252,melilla,35.2937,-2.9383,62.6,88,0,3.44,ES,1620286178
253,hofn,64.2539,-15.2082,33.89,55,14,14.97,IS,1620286178
254,gorontalo,0.5412,123.0595,85.06,75,100,3.0,ID,1620286179
255,cabedelo,-6.9811,-34.8339,73.4,100,20,6.91,BR,1620286179
256,lensk,60.7253,114.9278,38.98,97,100,5.06,RU,1620286180
257,saint-pierre,-21.3393,55.4781,77.0,88,0,5.75,RE,1620286180
258,saint marys,30.7305,-81.5465,71.6,94,40,4.05,US,1620286180
259,madang,-5.2246,145.7966,83.79,77,100,9.51,PG,1620286181
260,mapiripan,2.8892,-72.1256,72.01,93,97,1.61,CO,1620286181
261,tomatlan,19.9333,-105.25,67.86,87,0,2.57,MX,1620286181
262,puli,23.9664,120.9695,82.4,69,40,4.61,TW,1620286182
263,cockburn town,21.4612,-71.1419,78.6,73,2,18.86,TC,1620286093
264,mount gambier,-37.8333,140.7667,60.8,67,100,5.75,AU,1620286182
265,nachingwea,-10.3833,38.7667,71.47,72,100,8.77,TZ,1620286183
266,ribeira grande,38.5167,-28.7,62.6,94,75,18.41,PT,1620286183
267,kutum,14.2,24.6667,86.04,25,10,10.56,SD,1620286184
268,santa marta,11.2408,-74.199,82.99,79,100,12.59,CO,1620286184
269,sakaiminato,35.55,133.2333,68.0,52,75,11.5,JP,1620286185
270,corn island,12.1694,-83.0418,81.05,76,10,13.87,NI,1620286185
271,kuvandyk,51.4781,57.3552,55.0,49,7,14.12,RU,1620286023
272,marawi,7.9986,124.2928,84.0,84,100,8.99,PH,1620286186
273,labuan,5.2767,115.2417,84.2,84,40,5.75,MY,1620286186
274,penzance,50.1186,-5.5371,41.0,93,75,13.8,GB,1620286187
275,plastun,44.7561,136.2939,64.72,41,84,11.18,RU,1620286187
276,merauke,-8.4667,140.3333,84.11,69,21,16.53,ID,1620285907
277,paita,-5.0892,-81.1144,69.66,80,96,11.45,PE,1620286188
278,merritt island,28.5392,-80.672,73.99,88,1,4.61,US,1620285938
279,chulym,55.0997,80.9572,72.64,32,100,11.72,RU,1620286188
280,hede,33.7681,120.2517,74.98,53,100,16.13,CN,1620286189
281,roros,62.5747,11.3842,28.4,59,0,11.5,NO,1620286189
282,komsomolskiy,40.4272,71.7189,75.2,50,100,6.91,UZ,1620286189
283,lincoln,40.8,-96.667,46.99,81,1,14.97,US,1620286074
284,mar del plata,-38.0023,-57.5575,46.99,93,40,4.61,AR,1620285915
